token,date_in,buy_price,date_out,sell_price,profit_percentage
ADBE,2024-03-15 09:30:00-04:00,492.7000122070313,2025-02-20 15:30:00-05:00,453.7699890136719,-7.901364365503838
AMD,2024-05-01 09:30:00-04:00,147.6300048828125,2025-02-20 15:30:00-05:00,114.04000091552734,-22.7528299507601
AMZN,2024-08-02 09:30:00-04:00,161.35000610351562,2025-02-20 15:30:00-05:00,222.72000122070312,38.035322464019615
BA,2024-09-03 09:30:00-04:00,159.81500244140625,2025-02-20 15:30:00-05:00,180.6499938964844,13.036943426332574
CAT,2024-04-25 09:30:00-04:00,338.6400146484375,2025-02-20 15:30:00-05:00,349.1700134277344,3.1094963157938373
GE,2024-10-22 09:30:00-04:00,176.85009765625,2025-02-20 15:30:00-05:00,208.69000244140625,18.003894375588438
GOOGL,2025-02-05 09:30:00-05:00,188.3650054931641,2025-02-20 15:30:00-05:00,184.75,-1.919149198493391
IBM,2024-04-25 09:30:00-04:00,166.91000366210938,2025-02-20 15:30:00-05:00,264.8999938964844,58.70827876365324
INTC,2024-04-03 09:30:00-04:00,41.13999938964844,2025-02-20 15:30:00-05:00,25.959999084472656,-36.898397011146635
LLY,2024-10-30 09:30:00-04:00,817.989990234375,2025-02-20 15:30:00-05:00,871.3250122070312,6.520253622831547
META,2024-04-25 09:30:00-04:00,440.9200134277344,2025-02-20 15:30:00-05:00,696.6699829101562,58.00371080781949
MRNA,2024-08-01 09:30:00-04:00,101.0,2025-02-20 15:30:00-05:00,33.720001220703125,-66.61386017752166
NFLX,2024-04-19 09:30:00-04:00,567.2100219726562,2025-02-20 15:30:00-05:00,1023.7899780273438,80.49574908193318
NKE,2024-03-22 09:30:00-04:00,92.12999725341795,2025-02-20 15:30:00-05:00,77.1686019897461,-16.239439606752843
NVDA,2025-01-27 09:30:00-05:00,124.02999877929688,2025-02-20 15:30:00-05:00,140.1750030517578,13.01701558603568
ORCL,2024-12-10 09:30:00-05:00,174.82940673828125,2025-02-20 15:30:00-05:00,176.14999389648438,0.7553575698967151
PYPL,2025-02-04 09:30:00-05:00,81.00170135498047,2025-02-20 15:30:00-05:00,77.73500061035156,-4.032879174121261
SBUX,2024-05-01 09:30:00-04:00,74.63999938964844,2025-02-20 15:30:00-05:00,113.30500030517578,51.80198450120789
TSLA,2024-07-24 09:30:00-04:00,217.06399536132807,2025-02-20 15:30:00-05:00,354.614990234375,63.368867160155894
UBER,2024-05-08 09:30:00-04:00,65.4281997680664,2025-02-20 15:30:00-05:00,81.37000274658203,24.365339463758794
UNH,2024-02-28 09:30:00-05:00,486.2099914550781,2025-02-20 15:30:00-05:00,503.1400146484375,3.482039343266678
VZ,2024-07-22 09:30:00-04:00,38.90499877929688,2025-02-20 15:30:00-05:00,42.47499847412109,9.176197935582415
WFC,2024-07-12 09:30:00-04:00,55.95000076293945,2025-02-20 15:30:00-05:00,78.7750015258789,40.79535380106453
